Brand,Model,Range(km),Long_distance_range(km),Battery_kWh,Weight(kg),Acceleration(0-100s),Efficiency(Wh/km),Seating_Capacity,Market_Segment,Fastcharge_power(kW),Towing_capacity(Kg),Cargo_volume(L),Price_per_range,Price(£)
Tesla,Model 3 Long Range RWD (Highland),550 km,655 km,75.0 kWh,1822 kg,5.2 sec,136 Wh/km,5,D,124 kW,1000 kg,682 L,€86 /km,"€44,990"
Tesla,Model Y Long Range AWD,445 km,524 km,75.0 kWh,2054 kg,5.0 sec,169 Wh/km,7,D,124 kW,1600 kg,971 L,€126 /km,"€55,970"
Mercedes-Benz,GLC 400 4MATIC,500 km,606 km,94.0 kWh,2535 kg,4.3 sec,188 Wh/km,5,D,190 kW,2400 kg,698 L,€146 /km,"€71,281"
Volvo,EX30 Single Motor ER (MY24-26),365 km,411 km,65.0 kWh,1850 kg,5.3 sec,178 Wh/km,5,B,114 kW,1600 kg,325 L,€117 /km,"€44,990"
BYD,SEALION 7 82.5 kWh RWD Comfort,420 km,440 km,82.5 kWh,2300 kg,6.7 sec,196 Wh/km,5,D,115 kW,750 kg,578 L,€121 /km,"€47,990"
Leapmotor,B10 67.1 kWh,360 km,403 km,65.0 kWh,1920 kg,8.0 sec,181 Wh/km,5,C,110 kW,750 kg,430 L,€93 /km,"€32,400"
BYD,ATTO 2,245 km,235 km,45.1 kWh,1645 kg,7.9 sec,184 Wh/km,5,B,51 kW,750 kg,400 L,€135 /km,"€31,990"
Tesla,Model Y Standard RWD (Juniper),380 km,440 km,60.0 kWh,1981 kg,7.2 sec,158 Wh/km,5,D,110 kW,1600 kg,952 L,€107 /km,"€40,970"
Tesla,Model Y Premium AWD (Juniper),475 km,556 km,79.0 kWh,2072 kg,4.8 sec,166 Wh/km,5,D,120 kW,1600 kg,971 L,€118 /km,"€53,970"
Tesla,Model Y Long Range RWD (Juniper),470 km,552 km,75.0 kWh,1976 kg,5.6 sec,160 Wh/km,5,D,124 kW,1600 kg,971 L,€112 /km,"€50,970"
Škoda,Elroq 85 (MY25),450 km,493 km,77.0 kWh,2115 kg,6.6 sec,171 Wh/km,5,C,120 kW,1000 kg,470 L,€94 /km,"€44,180"
Kia,EV4 Hatchback 81.4 kWh,475 km,498 km,78.0 kWh,1890 kg,7.7 sec,164 Wh/km,5,C,105 kW,1000 kg,435 L,€90 /km,"€43,240"
Tesla,Model Y Performance,430 km,506 km,75.0 kWh,2072 kg,4.0 sec,174 Wh/km,5,D,124 kW,1600 kg,971 L,€146 /km,"€60,970"
Mazda,6e 68.8 kWh,385 km,453 km,66.0 kWh,2037 kg,7.6 sec,171 Wh/km,5,D,120 kW,1500 kg,526 L,€116 /km,"€44,900"
Leapmotor,T03,225 km,212 km,36.0 kWh,1250 kg,12.7 sec,160 Wh/km,4,A,30 kW,unknown,210 L,€82 /km,"€18,900"
Audi,e-tron 55 quattro,365 km,384 km,86.5 kWh,2565 kg,5.7 sec,237 Wh/km,5,E,146 kW,1800 kg,660 L,€212 /km,"€81,500"
Kia,Niro EV,385 km,365 km,64.8 kWh,1757 kg,7.8 sec,168 Wh/km,5,C,70 kW,750 kg,495 L,€110 /km,"€45,690"
BMW,iX3 (MY22-24),385 km,411 km,74.0 kWh,2255 kg,6.8 sec,192 Wh/km,5,D,104 kW,750 kg,510 L,€184 /km,"€67,300"
Volkswagen,e-Golf,190 km,178 km,32.0 kWh,1615 kg,9.6 sec,168 Wh/km,5,C,39 kW,0 kg,341 L,€172 /km,"€31,900"
BMW,iX1 xDrive30,380 km,407 km,64.7 kWh,2085 kg,5.6 sec,170 Wh/km,5,C,93 kW,1200 kg,490 L,€148 /km,"€55,000"
Hyundai,Kona Electric 65 kWh,390 km,391 km,65.4 kWh,1773 kg,7.8 sec,168 Wh/km,5,B,86 kW,750 kg,493 L,€112 /km,"€47,190"
Hyundai,IONIQ 5 84 kWh RWD (MY24),450 km,560 km,80.0 kWh,2060 kg,7.5 sec,178 Wh/km,5,C,205 kW,1600 kg,577 L,€110 /km,"€51,650"
Tesla,Model 3 Standard Range Plus (PANA 2170L),350 km,421 km,51.0 kWh,1700 kg,5.6 sec,146 Wh/km,5,D,105 kW,1000 kg,649 L,€136 /km,"€45,560"
Volkswagen,ID.4 Pro (MY24-25),445 km,490 km,77.0 kWh,2144 kg,6.7 sec,173 Wh/km,5,C,120 kW,1000 kg,543 L,€108 /km,"€46,335"
Tesla,Model 3 Long Range AWD,455 km,560 km,73.5 kWh,1931 kg,4.6 sec,162 Wh/km,5,D,163 kW,1000 kg,542 L,€124 /km,"€55,480"
Mercedes-Benz,EQS 450+,685 km,731 km,118.0 kWh,2545 kg,6.2 sec,172 Wh/km,5,F,160 kW,750 kg,620 L,€173 /km,"€109,551"
MG,MGS5  EV 64 kWh,365 km,387 km,62.1 kWh,1755 kg,6.3 sec,170 Wh/km,5,C,90 kW,750 kg,453 L,€108 /km,"€42,990"
Renault,Megane E-Tech EV60 220hp,380 km,410 km,60.0 kWh,1711 kg,7.4 sec,158 Wh/km,5,C,87 kW,900 kg,440 L,€117 /km,"€46,600"
Hyundai,INSTER Long Range,300 km,311 km,46.0 kWh,1410 kg,10.6 sec,153 Wh/km,4,A,70 kW,unknown,351 L,€89 /km,"€25,400"
BYD,SEAL 82.5 kWh AWD Excellence,445 km,472 km,82.5 kWh,2260 kg,3.8 sec,185 Wh/km,5,D,100 kW,1500 kg,453 L,€122 /km,"€52,990"
Zeekr,7X Performance AWD,475 km,614 km,94.0 kWh,2535 kg,3.8 sec,198 Wh/km,5,D,260 kW,2000 kg,581 L,€135 /km,N/A
Renault,Zoe ZE50 R110,315 km,274 km,52.0 kWh,1577 kg,11.4 sec,165 Wh/km,5,B,41 kW,0 kg,338 L,€111 /km,"€36,840"
Renault,Twingo Electric,135 km,92 km,21.3 kWh,1186 kg,12.6 sec,158 Wh/km,4,A,0 kW,0 kg,174 L,€193 /km,"€28,000"
Tesla,Model Y Performance (Juniper),460 km,535 km,79.0 kWh,2108 kg,3.8 sec,172 Wh/km,5,D,120 kW,1600 kg,971 L,€143 /km,"€62,970"
Mercedes-Benz,EQB 250+,415 km,414 km,70.5 kWh,2105 kg,8.9 sec,170 Wh/km,7,C,90 kW,1400 kg,495 L,€133 /km,"€53,514"
BYD,DOLPHIN 60.4 kWh (MY24),350 km,338 km,60.5 kWh,1733 kg,7.0 sec,173 Wh/km,5,C,65 kW,0 kg,345 L,€100 /km,"€32,990"
Tesla,Model 3 Performance (Highland),490 km,585 km,75.0 kWh,1929 kg,3.4 sec,153 Wh/km,5,D,124 kW,0 kg,682 L,€126 /km,"€58,470"
BMW,i3 120 Ah,235 km,222 km,37.9 kWh,1345 kg,7.3 sec,161 Wh/km,4,B,47 kW,0 kg,260 L,€167 /km,"€39,000"
Changan,Deepal S05 RWD,385 km,448 km,68.0 kWh,2015 kg,7.5 sec,177 Wh/km,5,C,130 kW,1600 kg,651 L,€101 /km,"€38,990"
Mercedes-Benz,EQC 400 4MATIC,370 km,366 km,80.0 kWh,2495 kg,5.1 sec,216 Wh/km,5,D,100 kW,1800 kg,500 L,€202 /km,"€66,069"
BMW,i4 eDrive40,515 km,584 km,80.7 kWh,2125 kg,5.7 sec,157 Wh/km,5,D,131 kW,1600 kg,470 L,€122 /km,"€59,200"
Mercedes-Benz,CLA 350 4MATIC,575 km,746 km,85.0 kWh,2135 kg,4.9 sec,148 Wh/km,5,D,235 kW,1800 kg,506 L,€105 /km,"€60,381"
Tesla,Model 3 Long Range AWD (Highland),525 km,629 km,75.0 kWh,1899 kg,4.4 sec,143 Wh/km,5,D,124 kW,1000 kg,682 L,€101 /km,"€49,990"
Hyundai,Kona Electric 64 kWh,390 km,363 km,64.0 kWh,1760 kg,7.9 sec,164 Wh/km,5,B,64 kW,300 kg,332 L,€110 /km,"€42,900"
Zeekr,7X Long Range RWD,490 km,630 km,94.0 kWh,2415 kg,6.0 sec,192 Wh/km,5,D,260 kW,2000 kg,605 L,€116 /km,N/A
Kia,EV3 Standard Range,325 km,341 km,55.0 kWh,1800 kg,7.5 sec,169 Wh/km,5,B,80 kW,500 kg,485 L,€114 /km,"€35,990"
Tesla,Model S Plaid,560 km,636 km,95.0 kWh,2265 kg,2.4 sec,170 Wh/km,5,F,140 kW,1600 kg,798 L,€212 /km,"€120,970"
Mini,Countryman E,380 km,405 km,64.6 kWh,1940 kg,8.6 sec,170 Wh/km,5,C,93 kW,750 kg,460 L,€117 /km,"€43,500"
Ford,Puma Gen-E,275 km,312 km,43.6 kWh,1563 kg,8.0 sec,159 Wh/km,5,B,85 kW,750 kg,566 L,€124 /km,"€36,900"
MG,IM5 Long Range,570 km,730 km,96.5 kWh,2210 kg,4.9 sec,169 Wh/km,5,D,250 kW,unknown,475 L,€91 /km,N/A
Fiat,Grande Panda,260 km,270 km,43.8 kWh,1511 kg,11.0 sec,168 Wh/km,5,B,60 kW,550 kg,361 L,€96 /km,"€24,990"
Ford,Explorer Extended Range RWD,435 km,452 km,77.0 kWh,2090 kg,6.4 sec,177 Wh/km,5,C,120 kW,1000 kg,536 L,€112 /km,"€48,510"
Tesla,Model Y Long Range RWD,455 km,535 km,75.0 kWh,1959 kg,5.9 sec,165 Wh/km,5,D,124 kW,1600 kg,971 L,€113 /km,"€49,970"
BYD,DOLPHIN SURF 43.2 kWh Comfort,265 km,275 km,43.2 kWh,1465 kg,9.1 sec,163 Wh/km,4,B,60 kW,0 kg,308 L,€107 /km,"€30,990"
MG,ZS EV Long Range,370 km,352 km,68.3 kWh,1695 kg,8.4 sec,185 Wh/km,5,B,82 kW,500 kg,448 L,€105 /km,"€37,990"
BYD,TANG Flagship,460 km,444 km,108.8 kWh,2705 kg,4.9 sec,237 Wh/km,7,E,100 kW,1500 kg,235 L,€149 /km,"€69,615"
XPENG,G6 RWD Long Range (MY25),435 km,559 km,80.0 kWh,2190 kg,6.7 sec,184 Wh/km,5,D,290 kW,1500 kg,571 L,€111 /km,"€47,600"
Dongfeng,Box 42.3 kWh,255 km,254 km,40.0 kWh,1430 kg,12.5 sec,157 Wh/km,5,B,51 kW,unknown,326 L,€96 /km,N/A
Škoda,Elroq 60 (MY25),350 km,405 km,59.0 kWh,1975 kg,8.5 sec,169 Wh/km,5,C,110 kW,1000 kg,470 L,€108 /km,"€38,680"
Kia,PV5 Passenger 71.2 kWh (MY26),315 km,328 km,67.0 kWh,2145 kg,10.6 sec,213 Wh/km,5,N,75 kW,1500 kg,1330 L,€137 /km,"€42,290"
Tesla,Model 3 Long Range AWD (Highland),555 km,654 km,79.0 kWh,1899 kg,4.4 sec,142 Wh/km,5,D,120 kW,1000 kg,682 L,€96 /km,"€50,970"
Renault,Scenic E-Tech EV87 220hp (TU2025),480 km,481 km,87.0 kWh,1917 kg,7.9 sec,181 Wh/km,5,C,95 kW,1100 kg,545 L,€93 /km,"€47,900"
Kia,EV6 Long Range 2WD,410 km,514 km,74.0 kWh,1985 kg,7.3 sec,180 Wh/km,5,C,200 kW,1600 kg,532 L,€126 /km,"€51,990"
Tesla,Model Y RWD (CATL LFP),345 km,409 km,57.0 kWh,1984 kg,6.9 sec,165 Wh/km,5,D,108 kW,1600 kg,971 L,€139 /km,"€45,970"
Kia,EV6 Long Range AWD,440 km,549 km,80.0 kWh,2160 kg,5.2 sec,182 Wh/km,5,C,205 kW,1800 kg,510 L,€128 /km,"€53,990"
Audi,Q4 e-tron 40,405 km,430 km,76.6 kWh,2125 kg,8.5 sec,189 Wh/km,5,C,125 kW,1000 kg,520 L,€140 /km,"€51,900"
Tesla,Model 3 Long Range AWD,485 km,577 km,75.0 kWh,1919 kg,4.4 sec,155 Wh/km,5,D,124 kW,1000 kg,649 L,€112 /km,"€53,668"
Kia,EV5 81.4 kWh (MY26),400 km,421 km,78.0 kWh,2069 kg,8.4 sec,195 Wh/km,5,C,115 kW,1200 kg,566 L,€113 /km,"€45,990"
BYD,ATTO 3 (MY25),340 km,348 km,60.5 kWh,1825 kg,7.3 sec,178 Wh/km,5,C,75 kW,750 kg,440 L,€121 /km,"€38,990"
Mercedes-Benz,EQA 250,395 km,405 km,66.5 kWh,2045 kg,8.6 sec,168 Wh/km,5,C,100 kW,1500 kg,340 L,€129 /km,"€50,777"
Škoda,Enyaq iV 80 (MY21-23),440 km,468 km,77.0 kWh,2075 kg,8.6 sec,175 Wh/km,5,C,125 kW,1000 kg,585 L,€112 /km,"€48,900"
Tesla,Model 3 Long Range AWD,465 km,534 km,72.0 kWh,1919 kg,4.4 sec,155 Wh/km,5,D,108 kW,1000 kg,649 L,€121 /km,"€53,560"
TOGG,T10F Long Range RWD,490 km,531 km,85.0 kWh,2154 kg,7.5 sec,173 Wh/km,5,D,115 kW,0 kg,505 L,€82 /km,"€40,118"
Geely,EX5,330 km,365 km,60.2 kWh,1815 kg,6.9 sec,182 Wh/km,5,C,95 kW,0 kg,461 L,€111 /km,N/A
KGM,Torres EVX (MY24-25),370 km,368 km,72.0 kWh,1979 kg,8.1 sec,195 Wh/km,5,C,85 kW,1500 kg,839 L,€113 /km,"€41,990"
Hyundai,IONIQ 6 Long Range 2WD,495 km,637 km,74.0 kWh,1985 kg,7.4 sec,149 Wh/km,5,D,200 kW,1500 kg,446 L,€107 /km,"€54,000"
Tesla,Model 3 RWD (Highland CATL LFP60),420 km,495 km,57.0 kWh,1836 kg,6.1 sec,136 Wh/km,5,D,108 kW,1000 kg,682 L,€101 /km,"€40,970"
Toyota,bZ4X FWD (MY22-24),350 km,384 km,64.0 kWh,1970 kg,7.5 sec,183 Wh/km,5,C,100 kW,750 kg,452 L,€125 /km,"€42,900"
Lucid,Air Grand Touring (MY25-26),720 km,836 km,117.0 kWh,2435 kg,3.2 sec,163 Wh/km,5,F,190 kW,0 kg,910 L,€184 /km,"€130,900"
Volkswagen,ID.7 Pro (MY24-25),475 km,541 km,77.0 kWh,2172 kg,6.5 sec,162 Wh/km,5,E,125 kW,1000 kg,532 L,€114 /km,"€53,995"
BMW,iX1 eDrive20,390 km,418 km,64.7 kWh,1940 kg,8.3 sec,166 Wh/km,5,C,93 kW,750 kg,490 L,€129 /km,"€47,900"
Tesla,Model 3 Long Range AWD,490 km,584 km,76.0 kWh,1919 kg,4.4 sec,155 Wh/km,5,D,135 kW,1000 kg,649 L,€117 /km,"€55,260"
Leapmotor,C10 AWD 81.9 kWh,380 km,405 km,81.9 kWh,2264 kg,4.0 sec,216 Wh/km,5,D,120 kW,1500 kg,435 L,€118 /km,"€44,900"
Citroën,ë-C3 Comfort Range 44 kWh,255 km,270 km,43.8 kWh,1491 kg,11.5 sec,172 Wh/km,5,B,60 kW,550 kg,310 L,€94 /km,"€23,300"
Audi,Q4 e-tron 45,420 km,460 km,77.0 kWh,2145 kg,6.7 sec,183 Wh/km,5,C,120 kW,1000 kg,520 L,€129 /km,"€52,950"
Lynk&Co,02,370 km,399 km,65.0 kWh,1820 kg,5.5 sec,176 Wh/km,5,C,90 kW,1600 kg,425 L,€95 /km,"€35,995"
Polestar,5 Dual Motor,580 km,698 km,106.0 kWh,2462 kg,3.9 sec,183 Wh/km,4,F,210 kW,1800 kg,427 L,€197 /km,"€118,600"
MG,MG5 Electric Long Range,335 km,325 km,57.4 kWh,1637 kg,7.7 sec,171 Wh/km,5,C,60 kW,500 kg,479 L,€113 /km,"€38,490"
MG,MG4 Electric 51 kWh,300 km,306 km,50.8 kWh,1710 kg,7.7 sec,169 Wh/km,5,C,68 kW,500 kg,363 L,€109 /km,"€34,990"
Hyundai,IONIQ Electric,250 km,230 km,38.3 kWh,1602 kg,9.7 sec,153 Wh/km,5,C,36 kW,0 kg,357 L,€146 /km,"€35,350"
Tesla,Model S Dual Motor,575 km,653 km,95.0 kWh,2170 kg,3.2 sec,165 Wh/km,5,F,140 kW,1600 kg,798 L,€185 /km,"€110,970"
Nissan,LEAF Extended Range 75 kWh (MY26),455 km,484 km,75.0 kWh,1981 kg,7.6 sec,165 Wh/km,5,C,100 kW,975 kg,437 L,€93 /km,"* €42,000"
Tesla,Model 3 RWD (CATL LFP60),400 km,468 km,57.0 kWh,1835 kg,6.1 sec,143 Wh/km,5,D,100 kW,1000 kg,649 L,€114 /km,"€44,668"
Kia,e-Niro 64 kWh,375 km,349 km,64.0 kWh,1812 kg,7.8 sec,171 Wh/km,5,C,64 kW,300 kg,451 L,€108 /km,"€42,790"
Volkswagen,ID.4 Pro Performance,410 km,436 km,77.0 kWh,2109 kg,8.5 sec,188 Wh/km,5,C,125 kW,1000 kg,543 L,€124 /km,"€46,335"
BMW,iX xDrive50,505 km,538 km,105.2 kWh,2585 kg,4.6 sec,208 Wh/km,5,E,149 kW,2500 kg,500 L,€213 /km,"€100,100"
Omoda,E5,330 km,350 km,58.9 kWh,1785 kg,7.6 sec,178 Wh/km,5,C,80 kW,0 kg,380 L,€115 /km,N/A
Mercedes-Benz,CLA 200,400 km,493 km,58.0 kWh,2045 kg,7.5 sec,145 Wh/km,5,D,125 kW,1500 kg,506 L,€124 /km,"€49,421"
Nissan,Ariya 87kWh,450 km,445 km,87.0 kWh,2121 kg,7.6 sec,193 Wh/km,5,C,110 kW,750 kg,468 L,€103 /km,"€53,490"
Škoda,Enyaq 85 (MY25),455 km,477 km,77.0 kWh,2141 kg,6.7 sec,169 Wh/km,5,C,120 kW,1000 kg,585 L,€106 /km,"€48,900"
Peugeot,e-2008 54 kWh,300 km,324 km,50.8 kWh,1623 kg,9.1 sec,169 Wh/km,5,B,85 kW,0 kg,434 L,€129 /km,"€40,550"
Renault,4 E-Tech 52kWh 150hp,315 km,326 km,52.0 kWh,1537 kg,8.2 sec,165 Wh/km,5,B,70 kW,750 kg,420 L,€100 /km,"€32,400"
Dacia,Spring Electric 45,165 km,151 km,25.0 kWh,1009 kg,19.1 sec,152 Wh/km,4,A,29 kW,0 kg,343 L,€107 /km,"€16,900"
Mini,Cooper SE,180 km,183 km,28.9 kWh,1440 kg,7.3 sec,161 Wh/km,4,B,44 kW,0 kg,211 L,€207 /km,"€35,700"
Tesla,Model 3 Performance,470 km,555 km,76.0 kWh,1919 kg,3.6 sec,162 Wh/km,5,D,135 kW,0 kg,649 L,€137 /km,"€59,560"
Citroën,C5 Aircross Long Range,485 km,492 km,96.9 kWh,2246 kg,8.8 sec,200 Wh/km,5,C,130 kW,1200 kg,565 L,€93 /km,N/A
firefly,firefly,240 km,256 km,41.2 kWh,1542 kg,8.1 sec,172 Wh/km,5,B,65 kW,0 kg,496 L,€125 /km,N/A
Citroën,ë-C4,290 km,318 km,46.3 kWh,1636 kg,9.7 sec,160 Wh/km,5,C,78 kW,0 kg,380 L,€125 /km,"€34,875"
Audi,A6 Avant e-tron performance,575 km,699 km,94.9 kWh,2260 kg,5.4 sec,165 Wh/km,5,E,200 kW,2100 kg,529 L,€138 /km,"€77,250"
Hyundai,Kona Electric 64 kWh,390 km,363 km,64.0 kWh,1760 kg,7.9 sec,164 Wh/km,5,B,64 kW,0 kg,361 L,€110 /km,"€41,850"
BYD,SEAL U 87 kWh Design,425 km,418 km,87.0 kWh,2222 kg,9.6 sec,205 Wh/km,5,D,85 kW,1300 kg,552 L,€107 /km,"€44,990"
Audi,e-tron 50 quattro,280 km,299 km,64.7 kWh,2445 kg,6.8 sec,231 Wh/km,5,E,114 kW,1800 kg,660 L,€240 /km,"€69,100"
Hyundai,IONIQ 5 63 kWh RWD (MY24),345 km,423 km,60.0 kWh,1955 kg,8.5 sec,174 Wh/km,5,C,150 kW,750 kg,577 L,€128 /km,"€43,900"
BYD,SEAL 82.5 kWh RWD Design,480 km,507 km,82.5 kWh,2130 kg,5.9 sec,172 Wh/km,5,D,100 kW,750 kg,453 L,€104 /km,"€48,990"
BMW,i7 xDrive60,510 km,564 km,101.7 kWh,2715 kg,4.7 sec,199 Wh/km,5,F,159 kW,2000 kg,500 L,€272 /km,"€139,900"
Volkswagen,ID.3 Pro S (MY26),475 km,536 km,79.0 kWh,1957 kg,7.1 sec,166 Wh/km,5,C,135 kW,0 kg,385 L,€88 /km,"€44,025"
Tesla,Model Y Premium RWD (Juniper),470 km,552 km,75.0 kWh,1976 kg,5.6 sec,160 Wh/km,5,D,124 kW,1600 kg,971 L,€108 /km,"€50,970"
Leapmotor,C10 RWD 81.9 kWh,410 km,439 km,81.9 kWh,2130 kg,6.6 sec,200 Wh/km,5,D,120 kW,1500 kg,435 L,€103 /km,"€41,900"
BMW,i5 eDrive40 Sedan,470 km,535 km,81.2 kWh,2205 kg,6.0 sec,173 Wh/km,5,E,136 kW,1500 kg,490 L,€166 /km,"€70,200"
BYD,SEAL U 71.8 kWh Comfort,360 km,352 km,71.8 kWh,2095 kg,9.3 sec,199 Wh/km,5,D,72 kW,1300 kg,552 L,€118 /km,"€41,990"
Mercedes-Benz,G 580,395 km,394 km,116.0 kWh,3085 kg,4.7 sec,294 Wh/km,5,F,150 kW,0 kg,555 L,€465 /km,"€142,622"
Tesla,Model 3 Performance (Highland),515 km,603 km,79.0 kWh,1929 kg,3.4 sec,153 Wh/km,5,D,120 kW,0 kg,682 L,€121 /km,"€59,470"
XPENG,G6 RWD Long Range (MY24),480 km,574 km,87.5 kWh,2100 kg,6.7 sec,182 Wh/km,5,D,180 kW,1500 kg,571 L,€104 /km,"€47,600"
BMW,i4 eDrive40,525 km,595 km,81.3 kWh,2120 kg,5.6 sec,155 Wh/km,5,D,130 kW,1600 kg,470 L,€123 /km,"€60,600"
Volkswagen,ID.4 Pro (MY26),445 km,490 km,77.0 kWh,2139 kg,6.7 sec,173 Wh/km,5,C,120 kW,1000 kg,543 L,€99 /km,"€46,335"
Tesla,Model S 75D,380 km,386 km,72.5 kWh,2183 kg,4.4 sec,191 Wh/km,5,F,80 kW,0 kg,804 L,€216 /km,"€71,019"
Audi,A6 Sportback e-tron performance,600 km,730 km,94.9 kWh,2250 kg,5.4 sec,158 Wh/km,5,E,200 kW,2100 kg,529 L,€129 /km,"€75,600"
Smart,#5 Premium (MY25),465 km,579 km,94.0 kWh,2335 kg,6.5 sec,202 Wh/km,5,D,230 kW,1600 kg,702 L,€120 /km,"€55,400"
Polestar,2 Long Range Single Motor,420 km,451 km,75.0 kWh,2069 kg,7.4 sec,179 Wh/km,5,D,108 kW,1500 kg,440 L,€124 /km,"€50,995"
Peugeot,e-3008 73 kWh,380 km,397 km,73.0 kWh,2183 kg,8.8 sec,192 Wh/km,5,C,90 kW,1250 kg,588 L,€129 /km,"€48,750"
Škoda,Enyaq 85 (MY24),450 km,467 km,77.0 kWh,2137 kg,6.7 sec,171 Wh/km,5,C,120 kW,1000 kg,585 L,€112 /km,"€48,900"
Polestar,2 Long Range Dual Motor,390 km,419 km,75.0 kWh,2188 kg,4.7 sec,192 Wh/km,5,D,108 kW,1500 kg,440 L,€144 /km,"€54,995"
Kia,EV9 99.8 kWh AWD,435 km,485 km,96.0 kWh,2625 kg,6.0 sec,221 Wh/km,7,F,194 kW,2500 kg,385 L,€162 /km,"€68,990"
Tesla,Model S Plaid (MY26),565 km,639 km,95.0 kWh,2272 kg,2.4 sec,168 Wh/km,5,F,140 kW,unknown,798 L,€214 /km,"€120,970"
CUPRA,Tavascan Endurance,445 km,467 km,77.0 kWh,2178 kg,6.8 sec,173 Wh/km,5,C,120 kW,1000 kg,540 L,€120 /km,"€56,210"
Voyah,Free 106 kWh,480 km,433 km,100.0 kWh,2415 kg,4.4 sec,208 Wh/km,5,E,80 kW,2000 kg,622 L,€138 /km,N/A
Hyundai,IONIQ 6 Standard Range 2WD,335 km,418 km,50.0 kWh,1850 kg,8.8 sec,149 Wh/km,5,D,120 kW,750 kg,446 L,€134 /km,"€43,900"
Mazda,MX-30,170 km,167 km,30.0 kWh,1720 kg,9.7 sec,176 Wh/km,5,C,32 kW,0 kg,366 L,€212 /km,"€35,990"
Tesla,Model 3 Performance,460 km,543 km,75.0 kWh,1919 kg,3.6 sec,163 Wh/km,5,D,124 kW,0 kg,649 L,€130 /km,"€57,668"
Rolls-Royce,Spectre,465 km,494 km,102.0 kWh,2965 kg,4.5 sec,219 Wh/km,4,F,126 kW,unknown,380 L,€828 /km,"€379,015"
Toyota,bZ4X AWD (MY22-24),345 km,377 km,64.0 kWh,2070 kg,6.9 sec,186 Wh/km,5,C,100 kW,750 kg,452 L,€154 /km,"€50,490"
Jaecoo,5 EV,325 km,341 km,58.9 kWh,1765 kg,7.7 sec,181 Wh/km,5,C,80 kW,0 kg,480 L,€97 /km,N/A
Zeekr,001 Performance AWD,480 km,524 km,94.0 kWh,2410 kg,3.8 sec,196 Wh/km,5,E,135 kW,2000 kg,539 L,€134 /km,N/A
